Vardas         Pavarde        Galutinis(Vid.)Galutinis(Med.)
Vardas0859     Pavarde0859     5.24            5.95           
Vardas0832     Pavarde0832     5.24            5.65           
Vardas0969     Pavarde0969     5.25            4.66           
Vardas0039     Pavarde0039     5.25            5.16           
Vardas0740     Pavarde0740     5.25            4.74           
Vardas0173     Pavarde0173     5.25            5.47           
Vardas0168     Pavarde0168     5.27            5.83           
Vardas0871     Pavarde0871     5.27            5.10           
Vardas0644     Pavarde0644     5.27            5.32           
Vardas0104     Pavarde0104     5.28            5.23           
Vardas0701     Pavarde0701     5.29            4.78           
Vardas0722     Pavarde0722     5.29            4.85           
Vardas0827     Pavarde0827     5.31            5.15           
Vardas0455     Pavarde0455     5.31            5.40           
Vardas0352     Pavarde0352     5.31            5.00           
Vardas0030     Pavarde0030     5.32            5.38           
Vardas0547     Pavarde0547     5.32            5.50           
Vardas0735     Pavarde0735     5.33            5.03           
Vardas0963     Pavarde0963     5.34            5.37           
Vardas0291     Pavarde0291     5.34            5.80           
Vardas0056     Pavarde0056     5.35            5.71           
Vardas0272     Pavarde0272     5.35            5.25           
Vardas0569     Pavarde0569     5.36            5.07           
Vardas0364     Pavarde0364     5.36            4.99           
Vardas0835     Pavarde0835     5.37            5.07           
Vardas0977     Pavarde0977     5.40            5.37           
Vardas0505     Pavarde0505     5.40            5.43           
Vardas0553     Pavarde0553     5.40            4.21           
Vardas0589     Pavarde0589     5.41            4.90           
Vardas0528     Pavarde0528     5.42            5.10           
Vardas0788     Pavarde0788     5.42            5.90           
Vardas0367     Pavarde0367     5.43            5.76           
Vardas0181     Pavarde0181     5.43            4.90           
Vardas0813     Pavarde0813     5.44            5.80           
Vardas0300     Pavarde0300     5.44            4.78           
Vardas0189     Pavarde0189     5.44            5.32           
Vardas0957     Pavarde0957     5.45            4.88           
Vardas0378     Pavarde0378     5.45            6.13           
Vardas0549     Pavarde0549     5.46            5.12           
Vardas0850     Pavarde0850     5.46            4.81           
Vardas0276     Pavarde0276     5.46            5.88           
Vardas0416     Pavarde0416     5.46            5.34           
Vardas0637     Pavarde0637     5.49            5.65           
Vardas0183     Pavarde0183     5.49            5.11           
Vardas0220     Pavarde0220     5.50            5.25           
Vardas0878     Pavarde0878     5.50            5.26           
Vardas0284     Pavarde0284     5.51            5.40           
Vardas0935     Pavarde0935     5.51            5.58           
Vardas0341     Pavarde0341     5.52            4.79           
Vardas0267     Pavarde0267     5.53            5.66           
Vardas0037     Pavarde0037     5.53            5.44           
Vardas0671     Pavarde0671     5.53            5.69           
Vardas0463     Pavarde0463     5.54            4.72           
Vardas0273     Pavarde0273     5.54            5.15           
Vardas0491     Pavarde0491     5.55            5.00           
Vardas0950     Pavarde0950     5.56            5.67           
Vardas0324     Pavarde0324     5.57            5.57           
Vardas0836     Pavarde0836     5.57            5.63           
Vardas0219     Pavarde0219     5.57            4.93           
Vardas0645     Pavarde0645     5.57            5.38           
Vardas0486     Pavarde0486     5.58            5.86           
Vardas0074     Pavarde0074     5.59            5.84           
Vardas0861     Pavarde0861     5.59            5.42           
Vardas0042     Pavarde0042     5.60            5.43           
Vardas0249     Pavarde0249     5.60            5.95           
Vardas0572     Pavarde0572     5.61            5.15           
Vardas0807     Pavarde0807     5.63            5.73           
Vardas0863     Pavarde0863     5.63            5.12           
Vardas0635     Pavarde0635     5.64            5.68           
Vardas0945     Pavarde0945     5.64            5.81           
Vardas0211     Pavarde0211     5.65            6.35           
Vardas0334     Pavarde0334     5.65            5.35           
Vardas0516     Pavarde0516     5.66            5.59           
Vardas0263     Pavarde0263     5.67            5.98           
Vardas0689     Pavarde0689     5.67            5.50           
Vardas0525     Pavarde0525     5.68            5.98           
Vardas0102     Pavarde0102     5.68            5.67           
Vardas0458     Pavarde0458     5.68            5.65           
Vardas0970     Pavarde0970     5.69            5.65           
Vardas0435     Pavarde0435     5.70            5.74           
Vardas0312     Pavarde0312     5.70            5.54           
Vardas0879     Pavarde0879     5.71            5.83           
Vardas0913     Pavarde0913     5.71            5.30           
Vardas0333     Pavarde0333     5.72            6.52           
Vardas0209     Pavarde0209     5.74            5.17           
Vardas0252     Pavarde0252     5.74            5.02           
Vardas0114     Pavarde0114     5.74            5.98           
Vardas0866     Pavarde0866     5.75            6.41           
Vardas0035     Pavarde0035     5.75            6.22           
Vardas0546     Pavarde0546     5.76            5.28           
Vardas0016     Pavarde0016     5.76            5.50           
Vardas0082     Pavarde0082     5.76            5.57           
Vardas0513     Pavarde0513     5.76            6.03           
Vardas0148     Pavarde0148     5.77            5.64           
Vardas0445     Pavarde0445     5.77            5.65           
Vardas0130     Pavarde0130     5.78            5.06           
Vardas0534     Pavarde0534     5.78            6.25           
Vardas0732     Pavarde0732     5.78            5.87           
Vardas0965     Pavarde0965     5.79            5.96           
Vardas0604     Pavarde0604     5.80            5.76           
Vardas0968     Pavarde0968     5.81            6.16           
Vardas0167     Pavarde0167     5.81            5.20           
Vardas0953     Pavarde0953     5.81            5.77           
Vardas0631     Pavarde0631     5.81            5.43           
Vardas0794     Pavarde0794     5.82            5.85           
Vardas0299     Pavarde0299     5.83            6.00           
Vardas0612     Pavarde0612     5.83            5.56           
Vardas0738     Pavarde0738     5.83            6.28           
Vardas0663     Pavarde0663     5.83            5.00           
Vardas0767     Pavarde0767     5.83            6.14           
Vardas0520     Pavarde0520     5.84            4.93           
Vardas0891     Pavarde0891     5.84            5.91           
Vardas0260     Pavarde0260     5.84            6.39           
Vardas0353     Pavarde0353     5.85            5.87           
Vardas0576     Pavarde0576     5.85            6.26           
Vardas0115     Pavarde0115     5.85            5.98           
Vardas0434     Pavarde0434     5.88            5.26           
Vardas0135     Pavarde0135     5.88            5.64           
Vardas0873     Pavarde0873     5.88            5.91           
Vardas0423     Pavarde0423     5.88            6.26           
Vardas0753     Pavarde0753     5.89            6.18           
Vardas0736     Pavarde0736     5.90            5.90           
Vardas0123     Pavarde0123     5.90            5.49           
Vardas0150     Pavarde0150     5.91            5.50           
Vardas0063     Pavarde0063     5.92            5.50           
Vardas0279     Pavarde0279     5.92            5.79           
Vardas0876     Pavarde0876     5.92            5.97           
Vardas0391     Pavarde0391     5.93            6.49           
Vardas0834     Pavarde0834     5.93            6.55           
Vardas0113     Pavarde0113     5.97            6.12           
Vardas0700     Pavarde0700     5.98            5.88           
Vardas0006     Pavarde0006     5.98            6.06           
Vardas0659     Pavarde0659     6.01            5.69           
Vardas0448     Pavarde0448     6.01            5.51           
Vardas0596     Pavarde0596     6.02            6.28           
Vardas0286     Pavarde0286     6.03            6.60           
Vardas0133     Pavarde0133     6.05            5.90           
Vardas0742     Pavarde0742     6.05            6.37           
Vardas0991     Pavarde0991     6.05            5.93           
Vardas0193     Pavarde0193     6.05            6.27           
Vardas0041     Pavarde0041     6.05            5.96           
Vardas0754     Pavarde0754     6.06            6.41           
Vardas0677     Pavarde0677     6.07            5.76           
Vardas0666     Pavarde0666     6.08            6.21           
Vardas0860     Pavarde0860     6.09            6.31           
Vardas0142     Pavarde0142     6.10            5.95           
Vardas0636     Pavarde0636     6.10            5.76           
Vardas0476     Pavarde0476     6.12            6.37           
Vardas0159     Pavarde0159     6.12            6.14           
Vardas0583     Pavarde0583     6.12            6.39           
Vardas0792     Pavarde0792     6.12            6.38           
Vardas0573     Pavarde0573     6.12            6.65           
Vardas0298     Pavarde0298     6.13            5.81           
Vardas0158     Pavarde0158     6.13            5.11           
Vardas0144     Pavarde0144     6.13            6.54           
Vardas0803     Pavarde0803     6.14            5.75           
Vardas0106     Pavarde0106     6.14            6.16           
Vardas0639     Pavarde0639     6.15            6.30           
Vardas0900     Pavarde0900     6.15            6.47           
Vardas0713     Pavarde0713     6.16            5.57           
Vardas0087     Pavarde0087     6.17            6.34           
Vardas0174     Pavarde0174     6.17            5.68           
Vardas0306     Pavarde0306     6.17            6.65           
Vardas0426     Pavarde0426     6.18            6.58           
Vardas0365     Pavarde0365     6.18            6.72           
Vardas0625     Pavarde0625     6.20            6.10           
Vardas0162     Pavarde0162     6.20            5.55           
Vardas0515     Pavarde0515     6.22            6.42           
Vardas0422     Pavarde0422     6.22            5.98           
Vardas0562     Pavarde0562     6.22            6.31           
Vardas1000     Pavarde1000     6.22            5.88           
Vardas0348     Pavarde0348     6.23            6.49           
Vardas0796     Pavarde0796     6.23            5.45           
Vardas0896     Pavarde0896     6.23            6.35           
Vardas0952     Pavarde0952     6.24            6.28           
Vardas0791     Pavarde0791     6.24            5.98           
Vardas0224     Pavarde0224     6.24            7.22           
Vardas0674     Pavarde0674     6.25            5.84           
Vardas0960     Pavarde0960     6.25            6.26           
Vardas0331     Pavarde0331     6.26            6.34           
Vardas0043     Pavarde0043     6.27            6.00           
Vardas0843     Pavarde0843     6.28            6.22           
Vardas0355     Pavarde0355     6.29            6.44           
Vardas0280     Pavarde0280     6.31            6.10           
Vardas0012     Pavarde0012     6.31            6.42           
Vardas0634     Pavarde0634     6.33            6.50           
Vardas0932     Pavarde0932     6.33            5.75           
Vardas0597     Pavarde0597     6.34            5.88           
Vardas0064     Pavarde0064     6.34            6.73           
Vardas0769     Pavarde0769     6.34            6.24           
Vardas0002     Pavarde0002     6.36            5.88           
Vardas0386     Pavarde0386     6.36            6.16           
Vardas0413     Pavarde0413     6.37            6.17           
Vardas0552     Pavarde0552     6.38            6.10           
Vardas0226     Pavarde0226     6.39            6.86           
Vardas0623     Pavarde0623     6.40            6.29           
Vardas0146     Pavarde0146     6.40            6.04           
Vardas0216     Pavarde0216     6.40            6.59           
Vardas0902     Pavarde0902     6.41            6.68           
Vardas0440     Pavarde0440     6.43            6.46           
Vardas0385     Pavarde0385     6.43            7.41           
Vardas0646     Pavarde0646     6.43            6.13           
Vardas0830     Pavarde0830     6.44            6.52           
Vardas0437     Pavarde0437     6.44            6.23           
Vardas0684     Pavarde0684     6.45            7.32           
Vardas0240     Pavarde0240     6.45            6.67           
Vardas0710     Pavarde0710     6.45            6.36           
Vardas0519     Pavarde0519     6.46            6.72           
Vardas0165     Pavarde0165     6.47            6.58           
Vardas0958     Pavarde0958     6.47            6.85           
Vardas0818     Pavarde0818     6.48            6.73           
Vardas0010     Pavarde0010     6.48            6.19           
Vardas0457     Pavarde0457     6.48            6.66           
Vardas0757     Pavarde0757     6.49            6.27           
Vardas0077     Pavarde0077     6.49            5.81           
Vardas0093     Pavarde0093     6.49            5.75           
Vardas0806     Pavarde0806     6.49            6.78           
Vardas0417     Pavarde0417     6.49            6.89           
Vardas0585     Pavarde0585     6.50            6.55           
Vardas0388     Pavarde0388     6.52            6.92           
Vardas0647     Pavarde0647     6.52            6.77           
Vardas0996     Pavarde0996     6.52            6.38           
Vardas0954     Pavarde0954     6.52            6.64           
Vardas0412     Pavarde0412     6.52            6.14           
Vardas0511     Pavarde0511     6.54            6.14           
Vardas0559     Pavarde0559     6.54            6.70           
Vardas0332     Pavarde0332     6.57            6.67           
Vardas0819     Pavarde0819     6.58            6.78           
Vardas0185     Pavarde0185     6.58            6.79           
Vardas0117     Pavarde0117     6.58            6.93           
Vardas0313     Pavarde0313     6.59            6.61           
Vardas0773     Pavarde0773     6.59            6.27           
Vardas0723     Pavarde0723     6.61            6.85           
Vardas0411     Pavarde0411     6.61            6.60           
Vardas0151     Pavarde0151     6.62            6.63           
Vardas0488     Pavarde0488     6.63            6.08           
Vardas0336     Pavarde0336     6.64            6.80           
Vardas0339     Pavarde0339     6.64            6.80           
Vardas0326     Pavarde0326     6.64            6.21           
Vardas0774     Pavarde0774     6.64            6.26           
Vardas0121     Pavarde0121     6.64            6.83           
Vardas0651     Pavarde0651     6.65            7.08           
Vardas0096     Pavarde0096     6.65            6.56           
Vardas0015     Pavarde0015     6.66            6.29           
Vardas0747     Pavarde0747     6.66            6.58           
Vardas0529     Pavarde0529     6.66            6.66           
Vardas0027     Pavarde0027     6.66            6.12           
Vardas0605     Pavarde0605     6.67            7.14           
Vardas0210     Pavarde0210     6.67            7.18           
Vardas0204     Pavarde0204     6.67            6.61           
Vardas0641     Pavarde0641     6.68            6.69           
Vardas0962     Pavarde0962     6.68            7.04           
Vardas0923     Pavarde0923     6.69            7.04           
Vardas0908     Pavarde0908     6.69            6.60           
Vardas0617     Pavarde0617     6.70            6.54           
Vardas0139     Pavarde0139     6.70            6.89           
Vardas0507     Pavarde0507     6.70            6.57           
Vardas0749     Pavarde0749     6.70            6.46           
Vardas0246     Pavarde0246     6.70            7.17           
Vardas0451     Pavarde0451     6.71            6.89           
Vardas0842     Pavarde0842     6.71            6.78           
Vardas0556     Pavarde0556     6.72            6.91           
Vardas0166     Pavarde0166     6.72            6.59           
Vardas0213     Pavarde0213     6.73            6.59           
Vardas0429     Pavarde0429     6.73            6.80           
Vardas0449     Pavarde0449     6.73            7.31           
Vardas0436     Pavarde0436     6.73            6.90           
Vardas0679     Pavarde0679     6.73            6.19           
Vardas0235     Pavarde0235     6.74            7.16           
Vardas0070     Pavarde0070     6.74            6.72           
Vardas0608     Pavarde0608     6.74            6.59           
Vardas0293     Pavarde0293     6.75            6.25           
Vardas0088     Pavarde0088     6.75            6.82           
Vardas0431     Pavarde0431     6.75            6.58           
Vardas0468     Pavarde0468     6.75            6.96           
Vardas0268     Pavarde0268     6.75            6.71           
Vardas0510     Pavarde0510     6.76            6.67           
Vardas0533     Pavarde0533     6.76            6.75           
Vardas0369     Pavarde0369     6.76            7.26           
Vardas0809     Pavarde0809     6.76            6.43           
Vardas0869     Pavarde0869     6.77            7.17           
Vardas0870     Pavarde0870     6.78            6.35           
Vardas0381     Pavarde0381     6.79            6.84           
Vardas0840     Pavarde0840     6.79            6.55           
Vardas0584     Pavarde0584     6.80            6.02           
Vardas0718     Pavarde0718     6.80            6.83           
Vardas0512     Pavarde0512     6.81            7.11           
Vardas0153     Pavarde0153     6.81            6.46           
Vardas0034     Pavarde0034     6.81            6.63           
Vardas0200     Pavarde0200     6.83            6.59           
Vardas0574     Pavarde0574     6.84            5.78           
Vardas0743     Pavarde0743     6.84            6.32           
Vardas0768     Pavarde0768     6.86            6.19           
Vardas0255     Pavarde0255     6.87            7.67           
Vardas0816     Pavarde0816     6.87            7.26           
Vardas0253     Pavarde0253     6.87            6.81           
Vardas0328     Pavarde0328     6.88            6.39           
Vardas0838     Pavarde0838     6.89            6.87           
Vardas0446     Pavarde0446     6.90            6.76           
Vardas0756     Pavarde0756     6.90            7.13           
Vardas0496     Pavarde0496     6.90            6.77           
Vardas0014     Pavarde0014     6.90            6.66           
Vardas0909     Pavarde0909     6.90            6.66           
Vardas0729     Pavarde0729     6.90            6.58           
Vardas0657     Pavarde0657     6.91            6.94           
Vardas0699     Pavarde0699     6.91            7.18           
Vardas0001     Pavarde0001     6.91            6.78           
Vardas0982     Pavarde0982     6.92            6.94           
Vardas0484     Pavarde0484     6.92            7.11           
Vardas0557     Pavarde0557     6.92            6.88           
Vardas0733     Pavarde0733     6.92            6.83           
Vardas0727     Pavarde0727     6.92            6.40           
Vardas0269     Pavarde0269     6.94            7.06           
Vardas0028     Pavarde0028     6.94            6.56           
Vardas0197     Pavarde0197     6.94            6.93           
Vardas0095     Pavarde0095     6.95            7.47           
Vardas0688     Pavarde0688     6.96            6.90           
Vardas0771     Pavarde0771     6.96            6.55           
Vardas0613     Pavarde0613     6.96            7.48           
Vardas0777     Pavarde0777     6.96            6.29           
Vardas0690     Pavarde0690     6.98            6.76           
Vardas0881     Pavarde0881     6.98            7.13           
Vardas0540     Pavarde0540     7.00            7.19           
Vardas0250     Pavarde0250     7.04            7.05           
Vardas0558     Pavarde0558     7.04            7.54           
Vardas0765     Pavarde0765     7.04            6.77           
Vardas0311     Pavarde0311     7.05            7.38           
Vardas0057     Pavarde0057     7.05            7.07           
Vardas0315     Pavarde0315     7.06            6.90           
Vardas0714     Pavarde0714     7.07            7.69           
Vardas0790     Pavarde0790     7.07            7.46           
Vardas0399     Pavarde0399     7.07            6.73           
Vardas0045     Pavarde0045     7.08            7.56           
Vardas0715     Pavarde0715     7.08            6.79           
Vardas0509     Pavarde0509     7.08            6.53           
Vardas0398     Pavarde0398     7.08            7.12           
Vardas0083     Pavarde0083     7.08            6.29           
Vardas0454     Pavarde0454     7.08            7.00           
Vardas0049     Pavarde0049     7.10            6.91           
Vardas0494     Pavarde0494     7.10            7.26           
Vardas0697     Pavarde0697     7.11            6.96           
Vardas0059     Pavarde0059     7.11            6.59           
Vardas0170     Pavarde0170     7.11            7.23           
Vardas0523     Pavarde0523     7.11            6.96           
Vardas0044     Pavarde0044     7.12            6.53           
Vardas0072     Pavarde0072     7.12            7.62           
Vardas0163     Pavarde0163     7.12            7.28           
Vardas0069     Pavarde0069     7.12            6.75           
Vardas0929     Pavarde0929     7.13            7.06           
Vardas0097     Pavarde0097     7.13            7.05           
Vardas0949     Pavarde0949     7.15            7.17           
Vardas0459     Pavarde0459     7.15            6.74           
Vardas0799     Pavarde0799     7.16            6.95           
Vardas0698     Pavarde0698     7.16            7.31           
Vardas0156     Pavarde0156     7.16            7.29           
Vardas0004     Pavarde0004     7.17            7.21           
Vardas0217     Pavarde0217     7.17            7.58           
Vardas0230     Pavarde0230     7.17            6.97           
Vardas0544     Pavarde0544     7.18            7.63           
Vardas0865     Pavarde0865     7.18            7.70           
Vardas0805     Pavarde0805     7.18            7.61           
Vardas0482     Pavarde0482     7.20            7.21           
Vardas0670     Pavarde0670     7.21            6.75           
Vardas0621     Pavarde0621     7.25            7.47           
Vardas0503     Pavarde0503     7.25            7.41           
Vardas0874     Pavarde0874     7.27            6.91           
Vardas0846     Pavarde0846     7.28            7.19           
Vardas0032     Pavarde0032     7.28            7.18           
Vardas0643     Pavarde0643     7.29            7.05           
Vardas0514     Pavarde0514     7.29            7.48           
Vardas0984     Pavarde0984     7.30            7.39           
Vardas0976     Pavarde0976     7.30            7.22           
Vardas0915     Pavarde0915     7.31            7.80           
Vardas0664     Pavarde0664     7.32            7.36           
Vardas0026     Pavarde0026     7.32            7.17           
Vardas0936     Pavarde0936     7.32            7.77           
Vardas0203     Pavarde0203     7.33            7.82           
Vardas0706     Pavarde0706     7.33            7.77           
Vardas0632     Pavarde0632     7.34            7.75           
Vardas0883     Pavarde0883     7.34            7.45           
Vardas0278     Pavarde0278     7.35            7.65           
Vardas0195     Pavarde0195     7.36            7.17           
Vardas0089     Pavarde0089     7.38            7.23           
Vardas0924     Pavarde0924     7.39            7.19           
Vardas0242     Pavarde0242     7.39            7.36           
Vardas0752     Pavarde0752     7.39            7.64           
Vardas0785     Pavarde0785     7.40            7.89           
Vardas0350     Pavarde0350     7.41            7.29           
Vardas0829     Pavarde0829     7.41            7.89           
Vardas0305     Pavarde0305     7.41            6.78           
Vardas0029     Pavarde0029     7.42            7.16           
Vardas0025     Pavarde0025     7.42            7.48           
Vardas0275     Pavarde0275     7.42            7.28           
Vardas0453     Pavarde0453     7.42            7.73           
Vardas0478     Pavarde0478     7.44            8.14           
Vardas0112     Pavarde0112     7.44            7.89           
Vardas0005     Pavarde0005     7.44            7.86           
Vardas0021     Pavarde0021     7.44            7.04           
Vardas0472     Pavarde0472     7.44            7.47           
Vardas0750     Pavarde0750     7.45            7.32           
Vardas0642     Pavarde0642     7.46            7.12           
Vardas0233     Pavarde0233     7.46            7.23           
Vardas0084     Pavarde0084     7.47            7.46           
Vardas0264     Pavarde0264     7.48            7.41           
Vardas0499     Pavarde0499     7.49            7.07           
Vardas0046     Pavarde0046     7.49            8.34           
Vardas0852     Pavarde0852     7.50            7.42           
Vardas0802     Pavarde0802     7.51            8.15           
Vardas0937     Pavarde0937     7.52            7.70           
Vardas0141     Pavarde0141     7.52            7.28           
Vardas0052     Pavarde0052     7.53            8.17           
Vardas0966     Pavarde0966     7.54            7.31           
Vardas0849     Pavarde0849     7.54            7.49           
Vardas0724     Pavarde0724     7.54            7.93           
Vardas0075     Pavarde0075     7.55            7.56           
Vardas0110     Pavarde0110     7.55            7.94           
Vardas0983     Pavarde0983     7.57            7.94           
Vardas0606     Pavarde0606     7.57            7.83           
Vardas0433     Pavarde0433     7.58            7.61           
Vardas0629     Pavarde0629     7.58            7.73           
Vardas0126     Pavarde0126     7.59            7.64           
Vardas0011     Pavarde0011     7.60            7.88           
Vardas0882     Pavarde0882     7.61            7.64           
Vardas0292     Pavarde0292     7.61            6.94           
Vardas0933     Pavarde0933     7.62            6.71           
Vardas0851     Pavarde0851     7.62            6.78           
Vardas0462     Pavarde0462     7.63            7.61           
Vardas0236     Pavarde0236     7.63            7.54           
Vardas0053     Pavarde0053     7.63            7.84           
Vardas0640     Pavarde0640     7.63            7.70           
Vardas0432     Pavarde0432     7.63            7.38           
Vardas0310     Pavarde0310     7.63            7.84           
Vardas0393     Pavarde0393     7.64            7.23           
Vardas0017     Pavarde0017     7.65            7.90           
Vardas0480     Pavarde0480     7.65            7.74           
Vardas0092     Pavarde0092     7.67            7.55           
Vardas0134     Pavarde0134     7.67            7.62           
Vardas0342     Pavarde0342     7.68            7.70           
Vardas0708     Pavarde0708     7.68            7.98           
Vardas0218     Pavarde0218     7.69            7.71           
Vardas0277     Pavarde0277     7.70            7.99           
Vardas0495     Pavarde0495     7.71            7.59           
Vardas0501     Pavarde0501     7.74            8.12           
Vardas0772     Pavarde0772     7.74            7.50           
Vardas0821     Pavarde0821     7.75            7.64           
Vardas0184     Pavarde0184     7.77            7.88           
Vardas0760     Pavarde0760     7.78            7.65           
Vardas0067     Pavarde0067     7.78            8.30           
Vardas0541     Pavarde0541     7.79            7.57           
Vardas0582     Pavarde0582     7.79            7.87           
Vardas0825     Pavarde0825     7.80            7.23           
Vardas0471     Pavarde0471     7.80            8.36           
Vardas0971     Pavarde0971     7.81            8.40           
Vardas0826     Pavarde0826     7.82            8.26           
Vardas0833     Pavarde0833     7.83            7.85           
Vardas0938     Pavarde0938     7.83            8.04           
Vardas0441     Pavarde0441     7.84            7.68           
Vardas0274     Pavarde0274     7.84            7.94           
Vardas0591     Pavarde0591     7.84            8.51           
Vardas0575     Pavarde0575     7.85            8.03           
Vardas0899     Pavarde0899     7.85            7.86           
Vardas0925     Pavarde0925     7.86            8.26           
Vardas0225     Pavarde0225     7.86            7.74           
Vardas0397     Pavarde0397     7.87            7.77           
Vardas0775     Pavarde0775     7.89            7.51           
Vardas0140     Pavarde0140     7.89            8.51           
Vardas0054     Pavarde0054     7.89            7.40           
Vardas0020     Pavarde0020     7.93            7.27           
Vardas0337     Pavarde0337     7.93            7.43           
Vardas0465     Pavarde0465     7.94            8.32           
Vardas0175     Pavarde0175     7.94            8.55           
Vardas0372     Pavarde0372     7.94            8.32           
Vardas0531     Pavarde0531     7.94            8.34           
Vardas0682     Pavarde0682     7.97            7.98           
Vardas0179     Pavarde0179     7.98            8.59           
Vardas0335     Pavarde0335     8.00            8.34           
Vardas0595     Pavarde0595     8.01            8.24           
Vardas0654     Pavarde0654     8.02            7.55           
Vardas0427     Pavarde0427     8.03            7.85           
Vardas0518     Pavarde0518     8.05            8.27           
Vardas0266     Pavarde0266     8.06            7.66           
Vardas0522     Pavarde0522     8.07            8.73           
Vardas0601     Pavarde0601     8.07            7.57           
Vardas0265     Pavarde0265     8.07            8.18           
Vardas0241     Pavarde0241     8.07            8.78           
Vardas0867     Pavarde0867     8.08            7.94           
Vardas0421     Pavarde0421     8.09            8.08           
Vardas0538     Pavarde0538     8.10            8.99           
Vardas0669     Pavarde0669     8.10            8.35           
Vardas0695     Pavarde0695     8.12            7.62           
Vardas0132     Pavarde0132     8.13            7.98           
Vardas0259     Pavarde0259     8.13            8.18           
Vardas0667     Pavarde0667     8.17            8.81           
Vardas0703     Pavarde0703     8.18            8.13           
Vardas0145     Pavarde0145     8.18            8.35           
Vardas0400     Pavarde0400     8.18            7.82           
Vardas0360     Pavarde0360     8.19            7.87           
Vardas0490     Pavarde0490     8.21            8.20           
Vardas0665     Pavarde0665     8.24            8.15           
Vardas0728     Pavarde0728     8.26            8.00           
Vardas0579     Pavarde0579     8.27            8.45           
Vardas0319     Pavarde0319     8.29            8.59           
Vardas0904     Pavarde0904     8.31            8.44           
Vardas0506     Pavarde0506     8.35            8.34           
Vardas0741     Pavarde0741     8.36            8.80           
Vardas0521     Pavarde0521     8.42            8.16           
Vardas0627     Pavarde0627     8.44            8.62           
Vardas0371     Pavarde0371     8.44            8.83           
Vardas0990     Pavarde0990     8.44            8.40           
Vardas0481     Pavarde0481     8.45            8.40           
Vardas0564     Pavarde0564     8.48            8.91           
Vardas0831     Pavarde0831     8.48            8.67           
Vardas0118     Pavarde0118     8.48            8.81           
Vardas0931     Pavarde0931     8.51            8.84           
Vardas0073     Pavarde0073     8.64            8.42           
Vardas0404     Pavarde0404     8.65            8.14           
Vardas0090     Pavarde0090     8.66            8.74           
Vardas0810     Pavarde0810     8.67            8.78           
Vardas0206     Pavarde0206     8.68            8.34           
Vardas0598     Pavarde0598     8.69            8.35           
Vardas0880     Pavarde0880     8.70            8.83           
Vardas0959     Pavarde0959     8.72            9.11           
Vardas0098     Pavarde0098     8.76            9.53           
Vardas0943     Pavarde0943     8.80            8.51           
Vardas0992     Pavarde0992     9.08            8.92           
Vardas0116     Pavarde0116     9.14            9.40           
