Vardas         Pavarde        Galutinis(Vid.)Galutinis(Med.)
Vardas0097     Pavarde0097     2.89            2.70           
Vardas0934     Pavarde0934     2.90            2.28           
Vardas0571     Pavarde0571     2.90            2.74           
Vardas0753     Pavarde0753     2.91            2.37           
Vardas0744     Pavarde0744     2.94            2.70           
Vardas0039     Pavarde0039     2.95            2.64           
Vardas0264     Pavarde0264     2.95            3.08           
Vardas0519     Pavarde0519     2.97            2.73           
Vardas0622     Pavarde0622     2.98            2.81           
Vardas0312     Pavarde0312     2.99            3.08           
Vardas0071     Pavarde0071     3.03            3.12           
Vardas0755     Pavarde0755     3.03            2.44           
Vardas0043     Pavarde0043     3.05            3.15           
Vardas0380     Pavarde0380     3.05            2.65           
Vardas0256     Pavarde0256     3.06            2.88           
Vardas0488     Pavarde0488     3.09            2.31           
Vardas0937     Pavarde0937     3.09            3.00           
Vardas0376     Pavarde0376     3.10            3.45           
Vardas0032     Pavarde0032     3.10            3.81           
Vardas0644     Pavarde0644     3.12            3.06           
Vardas0433     Pavarde0433     3.12            3.18           
Vardas0991     Pavarde0991     3.13            3.72           
Vardas0026     Pavarde0026     3.13            2.78           
Vardas0110     Pavarde0110     3.14            3.44           
Vardas0597     Pavarde0597     3.14            2.55           
Vardas0481     Pavarde0481     3.14            3.41           
Vardas0081     Pavarde0081     3.15            3.14           
Vardas0489     Pavarde0489     3.15            3.37           
Vardas0405     Pavarde0405     3.16            3.15           
Vardas0999     Pavarde0999     3.16            3.05           
Vardas0819     Pavarde0819     3.17            2.89           
Vardas0493     Pavarde0493     3.17            3.31           
Vardas0697     Pavarde0697     3.19            3.03           
Vardas0535     Pavarde0535     3.19            2.87           
Vardas0880     Pavarde0880     3.19            3.12           
Vardas0728     Pavarde0728     3.20            3.33           
Vardas0722     Pavarde0722     3.20            3.34           
Vardas0811     Pavarde0811     3.22            2.94           
Vardas0053     Pavarde0053     3.22            3.27           
Vardas0860     Pavarde0860     3.22            3.25           
Vardas0263     Pavarde0263     3.23            3.19           
Vardas0943     Pavarde0943     3.23            3.09           
Vardas0448     Pavarde0448     3.23            3.10           
Vardas0779     Pavarde0779     3.26            3.24           
Vardas0803     Pavarde0803     3.26            3.14           
Vardas0802     Pavarde0802     3.26            3.28           
Vardas0566     Pavarde0566     3.26            3.04           
Vardas0158     Pavarde0158     3.27            3.42           
Vardas0089     Pavarde0089     3.28            3.06           
Vardas0682     Pavarde0682     3.31            3.31           
Vardas0231     Pavarde0231     3.31            3.83           
Vardas0858     Pavarde0858     3.33            3.11           
Vardas0447     Pavarde0447     3.33            2.91           
Vardas0809     Pavarde0809     3.34            3.31           
Vardas0757     Pavarde0757     3.34            3.29           
Vardas0397     Pavarde0397     3.35            3.11           
Vardas0756     Pavarde0756     3.36            3.03           
Vardas0825     Pavarde0825     3.36            3.29           
Vardas0893     Pavarde0893     3.36            3.14           
Vardas0162     Pavarde0162     3.38            3.13           
Vardas0829     Pavarde0829     3.38            3.42           
Vardas0111     Pavarde0111     3.38            3.29           
Vardas0324     Pavarde0324     3.38            3.21           
Vardas0069     Pavarde0069     3.38            2.93           
Vardas0561     Pavarde0561     3.38            3.16           
Vardas0512     Pavarde0512     3.39            3.81           
Vardas0393     Pavarde0393     3.39            3.80           
Vardas0861     Pavarde0861     3.39            2.65           
Vardas0007     Pavarde0007     3.40            3.66           
Vardas0995     Pavarde0995     3.41            3.35           
Vardas0290     Pavarde0290     3.41            3.24           
Vardas0686     Pavarde0686     3.42            4.01           
Vardas0864     Pavarde0864     3.44            3.91           
Vardas0922     Pavarde0922     3.45            3.52           
Vardas0338     Pavarde0338     3.46            3.17           
Vardas0018     Pavarde0018     3.47            3.12           
Vardas0440     Pavarde0440     3.48            2.91           
Vardas0872     Pavarde0872     3.48            4.05           
Vardas0590     Pavarde0590     3.48            3.56           
Vardas0350     Pavarde0350     3.48            3.73           
Vardas0119     Pavarde0119     3.49            3.62           
Vardas0928     Pavarde0928     3.49            2.87           
Vardas0817     Pavarde0817     3.50            3.67           
Vardas0612     Pavarde0612     3.50            3.14           
Vardas0130     Pavarde0130     3.51            3.68           
Vardas0320     Pavarde0320     3.51            3.52           
Vardas0845     Pavarde0845     3.51            3.49           
Vardas0997     Pavarde0997     3.51            4.11           
Vardas0510     Pavarde0510     3.51            3.69           
Vardas0035     Pavarde0035     3.52            3.31           
Vardas0681     Pavarde0681     3.53            3.57           
Vardas0651     Pavarde0651     3.53            3.38           
Vardas0598     Pavarde0598     3.53            3.29           
Vardas0840     Pavarde0840     3.54            3.57           
Vardas0585     Pavarde0585     3.54            3.37           
Vardas0165     Pavarde0165     3.54            3.46           
Vardas0855     Pavarde0855     3.55            3.76           
Vardas0356     Pavarde0356     3.56            3.49           
Vardas0149     Pavarde0149     3.56            3.02           
Vardas0747     Pavarde0747     3.56            3.54           
Vardas0609     Pavarde0609     3.57            2.91           
Vardas0708     Pavarde0708     3.57            3.48           
Vardas0876     Pavarde0876     3.57            3.72           
Vardas0731     Pavarde0731     3.57            3.50           
Vardas0632     Pavarde0632     3.58            3.02           
Vardas0522     Pavarde0522     3.60            3.45           
Vardas0354     Pavarde0354     3.60            3.45           
Vardas0548     Pavarde0548     3.60            3.33           
Vardas0659     Pavarde0659     3.62            4.26           
Vardas0091     Pavarde0091     3.62            3.41           
Vardas0754     Pavarde0754     3.62            3.95           
Vardas0049     Pavarde0049     3.63            3.80           
Vardas0897     Pavarde0897     3.64            3.83           
Vardas0313     Pavarde0313     3.64            3.24           
Vardas0581     Pavarde0581     3.65            3.36           
Vardas0733     Pavarde0733     3.66            3.25           
Vardas0671     Pavarde0671     3.66            4.22           
Vardas0146     Pavarde0146     3.66            3.91           
Vardas0961     Pavarde0961     3.68            3.22           
Vardas0259     Pavarde0259     3.68            4.00           
Vardas0496     Pavarde0496     3.69            4.27           
Vardas0180     Pavarde0180     3.69            3.55           
Vardas0404     Pavarde0404     3.70            3.76           
Vardas0806     Pavarde0806     3.70            3.71           
Vardas0739     Pavarde0739     3.70            3.96           
Vardas0869     Pavarde0869     3.71            3.61           
Vardas0378     Pavarde0378     3.73            3.17           
Vardas0472     Pavarde0472     3.74            3.11           
Vardas0573     Pavarde0573     3.75            3.73           
Vardas0417     Pavarde0417     3.75            3.97           
Vardas0468     Pavarde0468     3.76            3.90           
Vardas0183     Pavarde0183     3.76            3.17           
Vardas0712     Pavarde0712     3.76            3.69           
Vardas0565     Pavarde0565     3.76            3.89           
Vardas0500     Pavarde0500     3.76            3.55           
Vardas0814     Pavarde0814     3.77            3.64           
Vardas0826     Pavarde0826     3.77            3.49           
Vardas0085     Pavarde0085     3.77            3.29           
Vardas0271     Pavarde0271     3.77            4.47           
Vardas0892     Pavarde0892     3.77            3.86           
Vardas0206     Pavarde0206     3.78            4.08           
Vardas0705     Pavarde0705     3.80            3.68           
Vardas0871     Pavarde0871     3.80            4.23           
Vardas0423     Pavarde0423     3.80            3.68           
Vardas0959     Pavarde0959     3.80            4.10           
Vardas0138     Pavarde0138     3.80            3.39           
Vardas0269     Pavarde0269     3.80            3.68           
Vardas0428     Pavarde0428     3.80            3.60           
Vardas0663     Pavarde0663     3.81            3.83           
Vardas0642     Pavarde0642     3.82            4.08           
Vardas0533     Pavarde0533     3.83            3.72           
Vardas0104     Pavarde0104     3.83            3.45           
Vardas0851     Pavarde0851     3.84            4.15           
Vardas0093     Pavarde0093     3.84            4.00           
Vardas0214     Pavarde0214     3.86            3.80           
Vardas0250     Pavarde0250     3.87            4.85           
Vardas0751     Pavarde0751     3.87            3.49           
Vardas0160     Pavarde0160     3.87            3.72           
Vardas0401     Pavarde0401     3.87            4.38           
Vardas0414     Pavarde0414     3.87            2.95           
Vardas0453     Pavarde0453     3.87            3.55           
Vardas0760     Pavarde0760     3.89            3.90           
Vardas0061     Pavarde0061     3.89            3.80           
Vardas0247     Pavarde0247     3.91            4.06           
Vardas0916     Pavarde0916     3.92            4.14           
Vardas0676     Pavarde0676     3.93            3.41           
Vardas0209     Pavarde0209     3.93            5.00           
Vardas0515     Pavarde0515     3.94            3.65           
Vardas0849     Pavarde0849     3.94            4.12           
Vardas0126     Pavarde0126     3.95            4.46           
Vardas0800     Pavarde0800     3.96            3.48           
Vardas0929     Pavarde0929     3.96            4.20           
Vardas0322     Pavarde0322     3.96            4.18           
Vardas0940     Pavarde0940     3.98            4.22           
Vardas0979     Pavarde0979     3.98            4.08           
Vardas0857     Pavarde0857     3.98            3.78           
Vardas0137     Pavarde0137     3.99            3.37           
Vardas0818     Pavarde0818     3.99            4.02           
Vardas0096     Pavarde0096     3.99            4.02           
Vardas0461     Pavarde0461     4.00            3.78           
Vardas0792     Pavarde0792     4.00            2.86           
Vardas0968     Pavarde0968     4.00            3.69           
Vardas0492     Pavarde0492     4.01            4.50           
Vardas0073     Pavarde0073     4.02            3.96           
Vardas0411     Pavarde0411     4.02            3.79           
Vardas0639     Pavarde0639     4.05            4.49           
Vardas0742     Pavarde0742     4.05            3.63           
Vardas0402     Pavarde0402     4.06            3.76           
Vardas0251     Pavarde0251     4.06            4.05           
Vardas0611     Pavarde0611     4.06            4.10           
Vardas0983     Pavarde0983     4.06            4.59           
Vardas0583     Pavarde0583     4.08            3.79           
Vardas0795     Pavarde0795     4.08            4.41           
Vardas0237     Pavarde0237     4.08            4.35           
Vardas0973     Pavarde0973     4.09            3.87           
Vardas0223     Pavarde0223     4.09            4.11           
Vardas0627     Pavarde0627     4.09            3.66           
Vardas0205     Pavarde0205     4.09            4.21           
Vardas0004     Pavarde0004     4.09            4.57           
Vardas0163     Pavarde0163     4.10            4.51           
Vardas0191     Pavarde0191     4.10            4.52           
Vardas0477     Pavarde0477     4.10            4.08           
Vardas0298     Pavarde0298     4.10            4.45           
Vardas0394     Pavarde0394     4.11            3.90           
Vardas0930     Pavarde0930     4.11            4.11           
Vardas0421     Pavarde0421     4.14            3.92           
Vardas0144     Pavarde0144     4.14            4.48           
Vardas0699     Pavarde0699     4.15            4.28           
Vardas0773     Pavarde0773     4.16            3.82           
Vardas0450     Pavarde0450     4.17            3.43           
Vardas0438     Pavarde0438     4.17            4.37           
Vardas0359     Pavarde0359     4.18            3.74           
Vardas0127     Pavarde0127     4.19            4.01           
Vardas0696     Pavarde0696     4.19            3.37           
Vardas0328     Pavarde0328     4.19            3.92           
Vardas0384     Pavarde0384     4.20            4.65           
Vardas0295     Pavarde0295     4.20            4.01           
Vardas0114     Pavarde0114     4.21            4.10           
Vardas0546     Pavarde0546     4.21            4.66           
Vardas0713     Pavarde0713     4.21            4.17           
Vardas0584     Pavarde0584     4.21            4.47           
Vardas0636     Pavarde0636     4.22            4.78           
Vardas0606     Pavarde0606     4.23            3.97           
Vardas0799     Pavarde0799     4.23            3.85           
Vardas0166     Pavarde0166     4.23            3.32           
Vardas0886     Pavarde0886     4.23            4.82           
Vardas0357     Pavarde0357     4.24            3.92           
Vardas0051     Pavarde0051     4.25            4.61           
Vardas0133     Pavarde0133     4.26            4.61           
Vardas0467     Pavarde0467     4.27            4.38           
Vardas0072     Pavarde0072     4.28            3.96           
Vardas0602     Pavarde0602     4.28            3.87           
Vardas0594     Pavarde0594     4.28            4.46           
Vardas0672     Pavarde0672     4.28            4.27           
Vardas0300     Pavarde0300     4.28            4.77           
Vardas0847     Pavarde0847     4.29            4.35           
Vardas0349     Pavarde0349     4.29            3.88           
Vardas0147     Pavarde0147     4.30            4.42           
Vardas0808     Pavarde0808     4.30            4.07           
Vardas0920     Pavarde0920     4.30            4.59           
Vardas0734     Pavarde0734     4.31            4.43           
Vardas0487     Pavarde0487     4.31            4.06           
Vardas0766     Pavarde0766     4.32            4.34           
Vardas0195     Pavarde0195     4.32            4.32           
Vardas0794     Pavarde0794     4.32            4.72           
Vardas0485     Pavarde0485     4.33            4.85           
Vardas0899     Pavarde0899     4.33            4.13           
Vardas0099     Pavarde0099     4.34            3.97           
Vardas0184     Pavarde0184     4.34            5.40           
Vardas0541     Pavarde0541     4.35            4.09           
Vardas0347     Pavarde0347     4.36            4.36           
Vardas0678     Pavarde0678     4.37            4.15           
Vardas0334     Pavarde0334     4.38            4.35           
Vardas0623     Pavarde0623     4.38            4.82           
Vardas0216     Pavarde0216     4.39            4.51           
Vardas0903     Pavarde0903     4.40            3.86           
Vardas0005     Pavarde0005     4.40            4.41           
Vardas0656     Pavarde0656     4.41            4.32           
Vardas0870     Pavarde0870     4.41            5.05           
Vardas0070     Pavarde0070     4.42            4.54           
Vardas0551     Pavarde0551     4.43            5.01           
Vardas0219     Pavarde0219     4.43            4.48           
Vardas0693     Pavarde0693     4.44            4.04           
Vardas0844     Pavarde0844     4.45            4.33           
Vardas0518     Pavarde0518     4.46            4.58           
Vardas0635     Pavarde0635     4.46            5.32           
Vardas0815     Pavarde0815     4.46            3.83           
Vardas0281     Pavarde0281     4.47            4.85           
Vardas0554     Pavarde0554     4.47            4.92           
Vardas0842     Pavarde0842     4.47            4.82           
Vardas0486     Pavarde0486     4.48            4.62           
Vardas0745     Pavarde0745     4.48            4.82           
Vardas0204     Pavarde0204     4.48            4.76           
Vardas0333     Pavarde0333     4.49            4.11           
Vardas0820     Pavarde0820     4.49            4.52           
Vardas0791     Pavarde0791     4.52            4.26           
Vardas0434     Pavarde0434     4.53            5.09           
Vardas0386     Pavarde0386     4.53            4.12           
Vardas0874     Pavarde0874     4.54            5.00           
Vardas0619     Pavarde0619     4.55            4.52           
Vardas0439     Pavarde0439     4.55            5.17           
Vardas0748     Pavarde0748     4.55            4.61           
Vardas0927     Pavarde0927     4.56            4.62           
Vardas0391     Pavarde0391     4.57            4.02           
Vardas0895     Pavarde0895     4.58            4.09           
Vardas0375     Pavarde0375     4.59            4.59           
Vardas0525     Pavarde0525     4.59            4.76           
Vardas0567     Pavarde0567     4.62            4.84           
Vardas0542     Pavarde0542     4.62            4.70           
Vardas0056     Pavarde0056     4.62            4.41           
Vardas0278     Pavarde0278     4.62            4.56           
Vardas0227     Pavarde0227     4.62            4.68           
Vardas0499     Pavarde0499     4.64            4.87           
Vardas0283     Pavarde0283     4.64            4.99           
Vardas0318     Pavarde0318     4.65            4.52           
Vardas0719     Pavarde0719     4.65            4.47           
Vardas0547     Pavarde0547     4.66            4.86           
Vardas0307     Pavarde0307     4.66            5.03           
Vardas0115     Pavarde0115     4.67            4.65           
Vardas0473     Pavarde0473     4.67            4.79           
Vardas0445     Pavarde0445     4.68            4.29           
Vardas0050     Pavarde0050     4.68            4.81           
Vardas0524     Pavarde0524     4.68            4.35           
Vardas0824     Pavarde0824     4.68            4.34           
Vardas0629     Pavarde0629     4.68            4.32           
Vardas0285     Pavarde0285     4.69            4.82           
Vardas0087     Pavarde0087     4.71            5.41           
Vardas0578     Pavarde0578     4.72            4.91           
Vardas0821     Pavarde0821     4.73            4.37           
Vardas0243     Pavarde0243     4.74            4.69           
Vardas0011     Pavarde0011     4.74            4.46           
Vardas0677     Pavarde0677     4.75            4.73           
Vardas0507     Pavarde0507     4.75            4.92           
Vardas0136     Pavarde0136     4.75            4.72           
Vardas0630     Pavarde0630     4.76            4.59           
Vardas0613     Pavarde0613     4.76            3.82           
Vardas0574     Pavarde0574     4.77            5.67           
Vardas0577     Pavarde0577     4.78            4.67           
Vardas0618     Pavarde0618     4.78            3.91           
Vardas0988     Pavarde0988     4.79            4.80           
Vardas0786     Pavarde0786     4.79            4.76           
Vardas0078     Pavarde0078     4.80            5.05           
Vardas0480     Pavarde0480     4.81            5.20           
Vardas0066     Pavarde0066     4.83            4.89           
Vardas0859     Pavarde0859     4.83            4.71           
Vardas0673     Pavarde0673     4.84            5.06           
Vardas0351     Pavarde0351     4.84            4.07           
Vardas0044     Pavarde0044     4.84            4.77           
Vardas0159     Pavarde0159     4.85            4.50           
Vardas0267     Pavarde0267     4.85            4.60           
Vardas0907     Pavarde0907     4.85            4.36           
Vardas0446     Pavarde0446     4.86            4.47           
Vardas0412     Pavarde0412     4.86            5.01           
Vardas0304     Pavarde0304     4.86            5.22           
Vardas0634     Pavarde0634     4.86            4.49           
Vardas0164     Pavarde0164     4.87            5.18           
Vardas0987     Pavarde0987     4.87            5.25           
Vardas0769     Pavarde0769     4.87            4.69           
Vardas0257     Pavarde0257     4.88            3.95           
Vardas0145     Pavarde0145     4.89            4.58           
Vardas0345     Pavarde0345     4.90            4.82           
Vardas0816     Pavarde0816     4.90            5.03           
Vardas0503     Pavarde0503     4.91            5.77           
Vardas0866     Pavarde0866     4.91            5.23           
Vardas0654     Pavarde0654     4.91            4.94           
Vardas0074     Pavarde0074     4.92            5.46           
Vardas0134     Pavarde0134     4.93            4.29           
Vardas0879     Pavarde0879     4.93            5.25           
Vardas0906     Pavarde0906     4.93            5.68           
Vardas0398     Pavarde0398     4.94            5.20           
Vardas0246     Pavarde0246     4.94            4.57           
Vardas0302     Pavarde0302     4.95            4.12           
Vardas0698     Pavarde0698     4.96            4.85           
Vardas0912     Pavarde0912     4.96            5.37           
Vardas0436     Pavarde0436     4.96            5.46           
Vardas0317     Pavarde0317     4.96            5.00           
Vardas0562     Pavarde0562     4.97            4.93           
Vardas0749     Pavarde0749     4.97            4.88           
Vardas0221     Pavarde0221     4.97            5.35           
Vardas0062     Pavarde0062     4.98            4.50           
Vardas0153     Pavarde0153     4.98            5.13           
Vardas0291     Pavarde0291     4.99            5.09           
